location_id,index,KLADR,FIAS,OKATO,OKTMO,IFNS,timezone,latitude,longitude,population
1167,175270,5301900100000,b12ce6eb-00e8-4d54-b309-14569350f346,49247501000,49647101001,5332,UTC+3,57.1451036,31.1787812,3829
1169,350000,2300000100000,7dfa745e-aa19-4688-b121-b655c11e482f,03401000000,03701000,2300,UTC+3,45.040235,38.9760801,744933
1170,353460,2300000300000,e157b9c0-f908-48bc-a1d7-39c482a501a5,03408000000,03708000,2304,UTC+3,44.5631053,38.0790184,54813
1171,352900,2300000200000,fc9c55d0-c66e-455e-8034-b0944b025c38,03405000000,03705000001,2372,UTC+3,45.0010338,41.132392,188897
1172,353280,2300000400000,298ebb96-d9c3-4809-b466-386c778234a5,03409000000,03709000001,2368,UTC+3,44.6343251,39.1356421,30093
1173,353900,2300000600000,16ac039a-5257-4715-a8c5-d6bd9e617b53,03420000000,03720000001,2315,UTC+3,44.7234264,37.7687218,241788
1174,354000,2300000700000,79da737a-603b-4c19-9b54-9114c96fb912,03426000000,03726000,2300,UTC+3,43.5855829,39.7231419,343285
1176,353320,2300200100000,ecd4abbc-79eb-4dd9-b02d-b10760fbc4ff,03201501000,03601101001,2300,UTC+3,44.8679931,38.1618437,34926
1178,353440,2300300100000,eeb7a0a7-3bbf-4f00-8a03-a7eabc257bed,03403000000,03703000001,2300,UTC+3,44.8950777,37.3163142,58983
1180,352690,2300400100000,7b9a7eb9-0d6d-4135-ad1c-3c059db9f386,03205501000,03605101001,2368,UTC+3,44.4585239,39.7300092,40229
1181,352680,2300400200000,e27ea530-bc56-43b3-8ff7-24db68ae2760,03205509000,03605109001,2300,UTC+3,44.412303,39.5319151,21580
1184,352630,2300600100000,ce9dccce-d0a3-49c4-a934-3f8de7fbed2a,03406000000,03608101001,2368,UTC+3,44.7652733,39.8780457,53891
1188,352190,2300900100000,3039644e-5690-43b6-abbc-2d190f6dcecf,03213501000,03613101001,2364,UTC+3,45.3605769,40.6918484,35225
1191,353680,2301100100000,d22840fe-89f7-4f1a-8591-c51b87a7aec2,03411000000,03616101001,2361,UTC+3,46.7114611,38.2764915,87771
